epoch,train_loss,val_loss,val_auc,epoch_time_s,imgs_per_sec
1,42.59759292602539,nan,0.5652257777777778,13.548343181610107,283.42936543278375
2,34.703267669677736,nan,0.5785031111111111,8.671156167984009,442.84756818364724
3,31.925214131673176,nan,0.6440328888888889,8.763824701309204,438.16584671955775
4,29.269629033406577,nan,0.6738448888888889,8.778729677200317,437.4209780510157
5,27.210233434041342,nan,0.7662386666666666,8.657983779907227,443.52131106352215
6,24.91304740905762,nan,0.7843284444444445,8.66965103149414,442.9248041126505
7,23.094799041748047,nan,0.8173835555555555,8.695818662643433,441.59169048686704
8,21.253329213460287,nan,0.8293826666666667,8.550197839736938,449.11249007762314
9,19.660606892903647,nan,0.8290462222222222,8.867637157440186,433.0350532462746
10,18.377550888061524,nan,0.8354186666666666,8.697515964508057,441.5053453358095
11,16.896305402119953,nan,0.8450177777777778,8.666967153549194,443.0620733419009
12,15.964575258890788,nan,0.8597902222222222,8.66883897781372,442.96591747180616
13,15.081918907165527,nan,0.8531071111111111,8.664080142974854,443.20903811273143
14,13.742330487569173,nan,0.868484,8.817698001861572,435.4879875241492
15,12.938544082641602,nan,0.8708146666666666,8.539624691009521,449.66849871767596
16,12.083641179402669,nan,0.880696,8.862929821014404,433.26534085723074
17,11.139055061340333,nan,0.8806017777777778,8.847303628921509,434.03033267571766
18,10.177316983540853,nan,0.8793333333333333,8.615694522857666,445.6989810078003
19,9.57291571299235,nan,0.8855906666666666,8.579378843307495,447.58488816857914
20,8.992897923787435,nan,0.8841693333333334,8.650244235992432,443.9181750559538
21,8.219682375590006,nan,0.8928911111111111,8.848217725753784,433.9854819450695
22,7.856236616770427,nan,0.8930595555555556,8.826433420181274,435.0573777689815
23,7.001103274027506,nan,0.8827897777777778,8.669508934020996,442.9317106236108
24,6.574058373769124,nan,0.9026626666666666,8.675728559494019,442.6141244123888
25,5.973451391855876,nan,0.8986391111111112,8.703882694244385,441.1822110581367
26,5.385845692952474,nan,0.8946715555555556,8.69229006767273,441.7711222924761
27,4.867489210764567,nan,0.9071746666666667,8.829232215881348,434.91893940349286
28,4.263263177871704,nan,0.9010648888888889,8.758700609207153,438.4211367294216
29,3.8318292617797853,nan,0.9005573333333333,8.728714227676392,439.92724022626163
30,3.490792687733968,nan,0.9082431111111111,8.82356572151184,435.19856189440065
31,3.018847688039144,nan,0.9026506666666667,8.950599670410156,429.0215567643027
32,2.45340936978658,nan,0.902072,8.736225128173828,439.5490643240828
33,2.186026922861735,nan,0.9063808888888889,8.726366758346558,440.04548831125095
34,1.8478644291559856,nan,0.9018568888888889,8.554880857467651,448.8668670452417
35,1.464775808652242,nan,0.9084951111111111,8.810994625091553,435.8191522304856
36,1.2450542767842612,nan,0.9082751111111111,8.656183004379272,443.6133584019998
37,0.9893688440322876,nan,0.9055191111111112,8.6663658618927,443.09228984246056
38,0.8089442312717438,nan,0.9107715555555556,8.702248811721802,441.2658064088023
39,0.6160435954729716,nan,0.9091311111111111,8.748738288879395,438.92045715605013
40,0.5013564189275106,nan,0.908992,8.696372270584106,441.56344574460235
41,0.3631758411725362,nan,0.9070982222222223,8.723589181900024,440.1855137967797
42,0.30424615542093914,nan,0.9073631111111111,8.780564546585083,437.33003355326105
43,0.24048562943935395,nan,0.9076484444444445,8.68692660331726,442.04355233555566
44,0.22342737019062042,nan,0.9061728888888889,8.583744764328003,447.3572718410545
45,0.1778368150194486,nan,0.9058586666666667,8.658503293991089,443.4944919801955
46,0.1853191614151001,nan,0.9055791111111111,8.554502487182617,448.8869959195809
47,0.15518421630064647,nan,0.9057391111111112,8.532365322113037,450.0510658338245
48,0.1466061368584633,nan,0.9059964444444445,8.749413251876831,438.8866210806973
49,0.134921791156133,nan,0.9064831111111111,8.766127824783325,438.0496192118025
50,0.13271796852350234,nan,0.9069315555555556,8.825600147247314,435.097807490166
