epoch,total,loss_id,loss_iccl,loss_mod,epoch_time_s
1,37.36860200780383,36.5246616566675,1.6878805671923258,0.0,79.52385687828064
2,36.14402931258523,35.59279214983156,1.1024743568967785,0.0,79.81103205680847
3,35.840648131963064,35.1805493958603,1.3201976101073993,0.0,79.64806008338928
4,34.74860665360851,34.0865619027403,1.3240894717577647,0.0,79.73922228813171
5,33.50394308778661,32.8363896093425,1.3351070457661645,0.0,79.73262619972229
6,32.52227416405311,31.534664526493593,1.9752194345350096,0.0,79.71018242835999
7,30.396633588350735,29.022863184911966,2.747540720115752,0.0,80.01191973686218
8,27.46230915453307,25.61627160021539,3.692075235603829,0.0,79.59251403808594
9,22.881550083498983,20.703054168520595,4.356991827135255,0.0,79.56795883178711
10,19.799445733516173,17.372340580415443,4.854210421883848,0.0,78.66866302490234
11,21.45591143320298,19.14787334238989,4.61607626909335,0.0,78.70688319206238
12,21.440969704170904,19.32928564985828,4.223368112857525,0.0,78.77058267593384
13,21.48889355405548,19.296848150400017,4.384090783327994,0.0,78.36781907081604
14,21.775451219998875,19.373223457110704,4.804455611832749,0.0,78.1306643486023
15,21.448312623966373,19.098254401302903,4.700116426987056,0.0,78.13905763626099
16,21.257858242508927,19.03210392788317,4.451508632073035,0.0,78.18795585632324
17,21.84119795624321,19.544733690792288,4.5929286621026035,0.0,78.03576159477234
18,21.309639123769905,19.276693197397087,4.06589177938608,0.0,78.52081894874573
19,20.79682833203197,19.022920066788352,3.5478165220226763,0.0,78.2042944431305
20,20.709366093020467,18.94591261508197,3.526906943180152,0.0,78.34908413887024
21,21.204376220703125,19.109894092266376,4.188964215961434,0.0,78.48154807090759
22,20.94533351469322,18.880445119191908,4.129776762787407,0.0,78.11887693405151
23,20.459275894616482,18.76877368272409,3.381004339139137,0.0,77.79639673233032
24,20.412035801001554,18.644606844207946,3.5348577732165185,0.0,77.79613089561462
25,20.782387874535555,18.631672926908415,4.301429939693247,0.0,78.02146553993225
26,20.226153740516075,18.434637126132582,3.583033176568838,0.0,77.89292335510254
27,19.88724302258012,18.361248140504376,3.0519897232394246,0.0,77.82587766647339
28,19.963778648150743,18.30022350288707,3.3271102503206604,0.0,77.46793913841248
29,19.725514282136274,18.205077673556538,3.0408730887802395,0.0,77.61463856697083
30,19.530931856505266,18.15017976704434,2.7615041986725033,0.0,77.68023991584778
31,19.53344647559894,18.104516294580947,2.857860404358813,0.0,77.68248438835144
32,19.447917001487234,18.001300224891075,2.8932336046850895,0.0,77.7273313999176
33,19.471749277509883,18.020136804975703,2.9032249542383046,0.0,77.87364602088928
34,19.3928793055066,17.949859669928014,2.886039389661078,0.0,77.85111451148987
35,19.405133794750686,17.89707892604128,3.016109658416206,0.0,78.03490829467773
36,19.335932601838422,17.878501581722464,2.9148620818493636,0.0,77.70179915428162
37,19.303026018763436,17.82660268749711,2.95284669921243,0.0,77.54107308387756
38,19.285044619317592,17.820680607000046,2.9287279188280273,0.0,77.88462519645691
39,19.295376467281546,17.83022867010895,2.9302956260873017,0.0,77.78014540672302
40,19.125374923796343,17.754309868671484,2.7421300665161312,0.0,77.66474986076355
