epoch,total,loss_id,loss_iccl,loss_mod,val_auc,epoch_time_s,imgs_per_sec
1,46.69149655881135,29.099945373685934,0.09259147517449359,2.266073716958992,0.9323,60.32898712158203,134.1975124442914
2,33.65031117978303,16.961385732582908,0.03232459464430691,2.1982812692996543,0.9558,60.251901388168335,134.36920351844384
3,25.629098944984406,9.067163460810665,0.025244530708862196,2.1860047592947134,0.9782,59.940563678741455,135.06713155704492
4,20.78048628403735,4.283241137214329,0.02558196585104532,2.199420913877223,0.9738,59.990477561950684,134.95475163769885
5,18.256358678161863,1.788477937135065,0.027491827149371147,2.219209331768775,0.9825,60.80393838882446,133.1492698421656
6,17.318548323137488,0.9003853527203262,0.027861603752897663,2.2095841117527173,0.9744,61.83059000968933,130.93842382437714
7,16.901814419290293,0.5239393713649615,0.0326355763641094,2.211197562839674,0.98,61.08631420135498,132.53377791486426
8,16.71215344606181,0.32595286705102416,0.033238192497505974,2.221721664247777,0.9763,60.73223376274109,133.30647497057575
9,16.534329550068367,0.1921292436101485,0.03605742631811398,2.2205641674901186,0.9808,60.342554330825806,134.16733994411277
10,16.465790578970324,0.13203890017286016,0.03872359255439208,2.2359575716403164,0.9736,60.45909833908081,133.90871221059444
11,16.379554145420965,0.07105580243972806,0.03567250262901717,2.2268732244318183,0.9803,60.65647292137146,133.47297675047452
12,16.374123569533758,0.06115193824265997,0.03338862381315985,2.237202399333004,0.9778,60.39843440055847,134.04320956910666
