epoch,total,loss_id,loss_iccl,loss_mod,val_auc,epoch_time_s,imgs_per_sec
1,28.58483704276707,26.289284116194654,0.018886575622579796,2.2861096529150196,0.9666,50.57032561302185,160.09388711381524
2,9.545736936712453,7.330261980592026,0.012210139066069258,2.2093698855916504,0.9707,49.96927523612976,162.01956025462366
3,3.7433130232241787,1.5275577122249857,0.01508776837658034,2.2082114238512847,0.9779,50.192559242248535,161.29880847329582
4,2.8484681967218872,0.6347995681947939,0.01795396058573553,2.204691649425642,0.9799,50.77137351036072,159.4599365791804
5,2.6018099063941142,0.37421860737826634,0.01806953890992719,2.218556520967144,0.9667,50.9792697429657,158.80965029157002
6,2.546360073353462,0.30062501443112327,0.02172231630020933,2.2348738960597827,0.9737,49.865089416503906,162.35807645660128
7,2.386077212721934,0.14870148458987506,0.016733034296704846,2.229009213654891,0.9734,50.16613745689392,161.38376224313905
8,2.3400908185559297,0.09553497949256641,0.018184695054184307,2.2354635004940713,0.9691,50.22524952888489,161.19382334464927
9,2.300534811415691,0.06098379900222388,0.015952790708174347,2.231574620182806,0.9689,50.27992081642151,161.01855111426175
10,2.2728968203774556,0.04001257517094488,0.015833727338097313,2.2249673835844863,0.9708,49.96172547340393,162.04404318080918
11,2.267219105256876,0.030082433859786845,0.01667468841721418,2.228799329916008,0.9718,50.887075424194336,159.09737261400454
12,2.2788745409886357,0.038929541445130625,0.014598491782020674,2.232645750988142,0.9747,50.07228136062622,161.6862619398484
