epoch,total,loss_id,loss_iccl,loss_mod,val_auc,epoch_time_s,imgs_per_sec
1,44.69539556390212,29.310999308650203,0.05690983864395942,0.0,0.9092,57.16038751602173,141.6365485228864
2,31.24449142636989,16.71302053768173,0.029133232701072844,0.0,0.9624,57.51891779899597,140.75369130365178
3,23.021746518583637,8.643424407295559,0.020487680116009422,0.0,0.9798,56.81909108161926,142.48731977022106
4,18.274548036778867,3.967015350524616,0.022637148339875603,0.0,0.9749,57.140082597732544,141.6868795412149
5,16.022628539164547,1.756327950848421,0.021484302091798763,0.0,0.9793,57.60150647163391,140.55187955868666
6,15.039165470439926,0.8249626374058517,0.026205376342763542,0.0,0.9831,58.83484077453613,137.60553939501727
7,14.655600099224348,0.4602383958995287,0.028022678843202444,0.0,0.9756,58.99905562400818,137.22253541810144
8,14.469475463445008,0.2879992216048597,0.02705779229934979,0.0,0.9777,59.77057337760925,135.45126878493113
9,14.320691730665123,0.19389083287804623,0.024727284613805325,0.0,0.9782,59.6681113243103,135.68386564133604
10,14.220581416556016,0.12156673399374046,0.021485448825971882,0.0,0.98,59.74837374687195,135.50159598149492
11,14.16758140744899,0.08072389281987215,0.0205038278234806,0.0,0.9755,59.545589447021484,135.96305075127555
12,14.15595859406965,0.0744646517457815,0.018933004276318985,0.0,0.9767,60.232229471206665,134.41308865829384
