epoch,train_loss,val_loss,val_auc,epoch_time_s,imgs_per_sec
1,37.64382654825847,nan,0.5863231111111111,17.910019636154175,214.40512791881733
2,32.37439511617025,nan,0.6244271111111112,6.103338956832886,629.1639342302709
3,28.636297734578452,nan,0.7415368888888889,6.1431803703308105,625.0833881657973
4,25.73517837524414,nan,0.7940288888888889,5.969447612762451,643.2757036456342
5,22.94545707702637,nan,0.8131968888888889,6.152745485305786,624.1109022275964
6,19.921795654296876,nan,0.8255711111111111,6.073068857192993,632.2998376196506
7,17.662529754638673,nan,0.8345764444444445,5.964975833892822,643.7590820434204
8,15.410866864522298,nan,0.8301155555555556,6.11096978187561,628.3782666798953
9,13.301096280415853,nan,0.8279097777777777,6.138549566268921,625.5550119742385
10,11.463187408447265,nan,0.8489404444444445,6.096411228179932,629.8788675785772
11,9.837010892232259,nan,0.833172,6.082522869110107,631.3170594153398
12,8.247489420572917,nan,0.8523008888888889,6.084798336029053,631.0808488655994
13,6.817366409301758,nan,0.8533608888888888,6.19907283782959,619.4470911139236
14,5.741768932342529,nan,0.8590142222222222,6.141739368438721,625.2314557024727
15,4.7771833101908365,nan,0.8544986666666666,6.1021575927734375,629.285591462632
16,3.923827950159709,nan,0.8575848888888888,6.043162107467651,635.4290250210529
17,3.1499497731526693,nan,0.8586515555555555,6.149140357971191,624.477629717859
18,2.487370506922404,nan,0.8546684444444445,6.124444484710693,626.9957637829074
19,1.972916062672933,nan,0.8604035555555556,6.052854537963867,634.4114129813114
20,1.5046337246894836,nan,0.8621822222222222,6.092994451522827,630.2320609888891
21,1.2982248584429423,nan,0.8667831111111111,6.125873804092407,626.8492260111805
22,1.055864679813385,nan,0.8558497777777778,6.052486419677734,634.4512481289823
23,0.8224242011706034,nan,0.8640102222222222,6.042634725570679,635.4843328072919
24,0.6452919483184815,nan,0.8642404444444445,6.078752517700195,631.7085848502136
25,0.5633514543374379,nan,0.8661111111111112,6.133849859237671,626.0342829769969
26,0.4341988205909729,nan,0.8686875555555555,5.998106002807617,640.2021665023642
27,0.31801850299040474,nan,0.8644155555555556,6.1516218185424805,624.2257017338617
28,0.251575243473053,nan,0.8687426666666667,6.070656776428223,632.5510224399884
29,0.2666323594748974,nan,0.8675933333333333,6.077523231506348,631.8363838374503
30,0.20971366961797078,nan,0.8723253333333333,6.001510143280029,639.8382977019396
31,0.13674495120843252,nan,0.8713457777777778,6.082517862319946,631.3186679054097
32,0.115482792754968,nan,0.8756866666666666,6.120729923248291,627.376203052329
33,0.0790806328256925,nan,0.8742,6.151108264923096,624.2777697048758
34,0.05529771198829015,nan,0.8730373333333333,6.145219326019287,624.8759883542598
35,0.042338843022783595,nan,0.8703711111111111,6.115137100219727,627.9500664730535
36,0.02485941263536612,nan,0.8727844444444445,6.188501834869385,620.5056884888822
37,0.02119803378979365,nan,0.8737684444444445,6.23230504989624,616.1440460397431
38,0.007684718631207943,nan,0.8751022222222222,6.0167577266693115,638.218676256329
39,0.006211998662911356,nan,0.8753137777777777,6.051301002502441,634.574308848018
40,0.0047204221598804,nan,0.8751617777777778,6.09805965423584,629.7085742241511
41,0.0033861241846655805,nan,0.8750702222222222,6.120535850524902,627.3962183803045
42,0.0018808785864772896,nan,0.8749875555555555,6.135040044784546,625.9129551842717
43,0.001467364785882334,nan,0.8749057777777778,6.094131708145142,630.1144255431172
44,0.0016331657185219227,nan,0.875052,6.117111682891846,627.7467057005155
45,0.0013297070671493807,nan,0.8750391111111111,6.124742031097412,626.9654989134073
46,0.0013331947887005905,nan,0.8752248888888889,6.172657012939453,622.0984397140548
47,0.0011237157159484923,nan,0.8754808888888889,6.200907468795776,619.2642233363028
48,0.0013012087515865763,nan,0.87556,6.089243650436401,630.6203154611484
49,0.0011662377238584062,nan,0.8754822222222223,6.1148762702941895,627.9767537367655
50,0.0011468508746474981,nan,0.8751017777777778,6.170161962509155,622.3498796616849
