epoch,total,loss_id,loss_iccl,loss_mod,epoch_time_s
1,39.14083997737727,36.262029185097596,1.4548658051434353,2.1513776539345466,85.93272280693054
2,34.59243224781646,32.28261021044128,0.41759230743145803,2.1010259467469163,84.5412712097168
3,30.827865769877235,28.708339770164716,0.06420974611144888,2.087421238775084,84.69138669967651
4,27.14225831116445,25.06633619726057,0.016456550491605913,2.0676937836867113,85.55838418006897
5,23.172239382591474,21.099661353071767,0.010494344737401408,2.0673307970430725,84.7525565624237
6,20.197208246535805,18.114764095058103,0.009313141412123041,2.077787611611496,86.5869665145874
7,17.886417016475157,15.796651400052584,0.007871087273195684,2.085830055044953,84.50682830810547
8,15.828523839013817,13.743614975517318,0.008102673040368848,2.080857505459757,85.38773536682129
9,14.025780841443666,11.928549574677055,0.008180678123263807,2.0931409745526737,84.81326413154602
10,12.299768600238146,10.188635416990202,0.006295173662256921,2.1079855776397434,84.82952451705933
11,10.688533055006399,8.572275390286418,0.007877642725447618,2.1123188353149143,84.37927222251892
12,8.981639261076436,6.8702939346697205,0.006699367279180645,2.1079956307213688,87.61671376228333
13,7.612394454211173,5.502734271732308,0.008236093450917659,2.1055421166166046,88.01587390899658
14,6.199663763215556,4.0771704813432414,0.007528615571260893,2.118728960759541,86.72967028617859
15,4.960634611062044,2.8278433959159623,0.008127975849561826,2.1287272195138875,91.59252619743347
16,3.9369334553825786,1.8127727836546814,0.009598815012013694,2.1193612849218604,85.15768575668335
17,3.3533496010232957,1.22809916443726,0.010748278157104952,2.1198762958571757,87.93327260017395
18,2.957500601661276,0.8279821631559253,0.010436956018151594,2.1242999557912703,85.93460774421692
19,2.6894378492818074,0.5662540057839374,0.013677320191362865,2.1163451812676426,85.94293284416199
20,2.58577900736995,0.44789425536615435,0.012341767690298093,2.13171386648212,85.74532175064087
21,2.4771803638638827,0.35337404938712275,0.013852053283107226,2.1168802821424584,88.0133581161499
22,2.472900294693264,0.3437815760785835,0.014572794136891594,2.1218323171491456,85.96824407577515
23,2.4322527216736383,0.3087606788654233,0.012773521384362066,2.117105285091513,85.65637397766113
24,2.3582396810576762,0.22351848993232729,0.015224339098322754,2.127109021124755,78.22352719306946
25,2.3433037460203003,0.2140300930136699,0.014976773009092696,2.121785262632652,77.4483289718628
26,2.302818513480869,0.1686580432661583,0.015083776380330842,2.126618577883794,77.90992045402527
27,2.250670459848889,0.13284403286645596,0.012713951522624946,2.1114694514923547,78.90569806098938
28,2.2486572329109236,0.11700860714228527,0.013558212315013423,2.1248695130884294,78.52204298973083
29,2.238218985365693,0.10228301631906704,0.012534614351024223,2.1296686604178166,77.89221835136414
30,2.229668668035925,0.09695742620606755,0.014489251753272621,2.1254666154906596,77.76233458518982
31,2.2348035976026184,0.09160971913725921,0.014770705945866965,2.1358085264115645,77.99223113059998
32,2.225169665714693,0.08886049371259218,0.013668196571367612,2.1294750722907705,77.89878463745117
33,2.205873954225574,0.07018008990296454,0.016556689393568507,2.1274155187888963,77.30695867538452
34,2.20679182272691,0.07214233194017705,0.014134461091401313,2.127582258021338,77.58005857467651
35,2.208922973045936,0.061998931968225764,0.014281082899411645,2.139783494571257,77.69506335258484
36,2.1915202119646695,0.05426631041100013,0.013436478206066561,2.1305356688753387,78.33118319511414
37,2.1878983544174737,0.055445654766026024,0.014031649282219002,2.1254368717148457,79.73432898521423
38,2.190333295856002,0.055786891126493404,0.014508791375332154,2.1272920123218784,78.14984011650085
39,2.2013021079746222,0.055668755307447124,0.015062760723583929,2.1381019727718193,78.13499808311462
40,2.191211667991954,0.05500106179374463,0.014789277465515302,2.1288159634234636,78.37172961235046
