epoch,total,loss_id,loss_iccl,loss_mod,val_auc,epoch_time_s,imgs_per_sec
1,46.876513801544554,29.23883358197721,0.049274633489475535,2.268084740921443,0.9254,94.00191569328308,86.1259043530163
2,33.44081118738227,16.76927427623583,0.028233790413104733,2.1780687415081523,0.9497,51.638460636138916,156.78236531965973
3,25.36692149648553,8.783360299385583,0.026415884912128124,2.1927572257905137,0.9507,53.570817947387695,151.12705592718675
4,20.76151599054751,4.245190946480974,0.022296884984308082,2.2126653015377964,0.9565,55.14808964729309,146.80472255302115
5,18.408167005998816,1.9386612157679712,0.025219402541019936,2.2116096104557808,0.9728,55.04690456390381,147.07457329596753
6,17.35405562329198,0.9124795705431579,0.02777840942144394,2.22061193413414,0.9761,55.26426959037781,146.49610064528227
7,16.976466974250883,0.5667775638367918,0.027260305499842045,2.224229171813241,0.9746,55.12700009346008,146.86088461687322
8,16.706412726240195,0.3369420130635665,0.024512472006643242,2.209336593688241,0.9818,55.73497676849365,145.25887457759876
9,16.542970902363773,0.18439056506358323,0.025066361832524475,2.2274290544713438,0.9777,55.98522639274597,144.60957866286313
10,16.450886756535105,0.12324823628516508,0.02284704036863425,2.225162792582757,0.9779,56.06656551361084,144.3997848955916
11,16.394130073517207,0.0733142788927785,0.022336592846237152,2.2310708992094863,0.9852,57.48655414581299,140.83293250565566
12,16.379984275154445,0.06544261074304095,0.02147898319446051,2.231279335474308,0.9836,57.396446228027344,141.054029161245
