epoch,train_loss,val_loss,val_auc,epoch_time_s,imgs_per_sec
1,27.925091980945453,nan,0.5437,32.76097369194031,123.56165106887129
2,24.190772113121547,nan,0.7152,32.8784019947052,123.1203390192716
3,20.062716638617836,nan,0.7783,32.89700388908386,123.05071956243525
4,16.76795301324294,nan,0.8011,32.870431661605835,123.15019290507976
