epoch,train_loss,val_loss,val_auc,epoch_time_s,imgs_per_sec
1,36.1471230352349,nan,0.5776,97.2311737537384,41.63273818181548
2,32.68765711878599,nan,0.6414,31.342445850372314,129.1539281690077
3,29.15434982088715,nan,0.6097,31.15481185913086,129.93177485081205
4,25.90941843025298,nan,0.6345,32.33750605583191,125.17972143587626
